rule_id,group,portability,current_module,current_prediction_effect,proposed_owner,prompt_instruction_status,deterministic_adapter_status,ablation_switch,target_failure_rows,claim_language_constraint,notes
rate.period_first_timeframe_count,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Period-first count ending with in that timeframe.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.period_first_timeframe_count,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.persistent_adverbial,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Persistent semiology described as daily/weekly/monthly/yearly.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.persistent_adverbial,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.qualified_direct_count_per_period,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Seizure-type-qualified direct count per period.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.qualified_direct_count_per_period,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.quarter_direct_count_per_period,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Direct count per quarter.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.quarter_direct_count_per_period,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.recent_count,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Counted seizure phrase in a single recent day/week/month/quarter/year.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.recent_count,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.recorded_year_count,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Counted seizure phrase recorded in a year so far.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.recorded_year_count,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.seizure_adjective,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Seizure noun or descriptor modified by daily/weekly/monthly/yearly.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.seizure_adjective,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.simple_partial_adverbial,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Simple partial seizure followed by daily/weekly/monthly/yearly.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.simple_partial_adverbial,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.standalone_adjective,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,"Frequency, pattern, or rate stated as daily/weekly/monthly/yearly.",deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.standalone_adjective,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.there_have_been_count,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,"Counted events over, in, during, or recorded in a period.",deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.there_have_been_count,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.yesterday_or_today_count,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Counted seizure phrase yesterday or today.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.yesterday_or_today_count,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
adapter.schema_repair_aliases,schema_repair,benchmark_format,contract.schema_repair,Repairs aliases and schema-compatible field variants.,deterministic_extraction_or_adapter,"Model should be asked for typed fields, but alias repair remains allowed format repair.",Keep as format-only repair.,strict/raw/schema-replay score layers,schema enum drift and alias-only failures,Allowed only when it does not change selected clinical fact or semantic kind.,Semantic repair must stay outside this bucket.
adapter.month_bucket_duration_selection_graph_gated_v2,seizure_free_no_event_assertions,gan2026_specific,artifact_analysis.month_bucket_duration_selection_ablation,Selects enriched seizure-free duration labels when graph metadata allows it.,research_comparison,"Use findings to design model duration-selection instructions, not as silent replacement.",Diagnostic only; do not promote without a written decision.,month-bucket duration-selection v0/v1/graph-gated-v2,18 enriched duration target rows and 232 broad-regression rows,Validation-only diagnostic; not benchmark or production policy.,"Strong target correction with graph gate, but deliberately not a final policy."
seizure_free.absence_for_duration,seizure_free_no_event_assertions,seizure_frequency,deterministic.rules.seizure_free,Absence of seizure-like events with an explicit month duration.,deterministic_extraction_or_adapter,"Teach current/no-event assertion, temporality, and duration selection.",Use deterministic date/duration arithmetic once the model selects the seizure-free or last-event evidence.,AblationConfig enabled_groups=seizure_free_no_event_assertions; disabled_rule_ids=seizure_free.absence_for_duration,"seizure-free duration, no-current-event, and no-reference boundary rows",Date/duration conversion is adapter-owned; deterministic no-event clinical selection is hybrid if it chooses the final fact.,Boundary between mechanical duration and clinical currentness is the key risk.
seizure_free.current_control_phrase,seizure_free_no_event_assertions,seizure_frequency,deterministic.rules.seizure_free,Current control or no-event assertion without a precise duration.,model_instruction,"Teach current/no-event assertion, temporality, and duration selection.",Use deterministic date/duration arithmetic once the model selects the seizure-free or last-event evidence.,AblationConfig enabled_groups=seizure_free_no_event_assertions; disabled_rule_ids=seizure_free.current_control_phrase,"seizure-free duration, no-current-event, and no-reference boundary rows",Date/duration conversion is adapter-owned; deterministic no-event clinical selection is hybrid if it chooses the final fact.,Boundary between mechanical duration and clinical currentness is the key risk.
seizure_free.duration_status,seizure_free_no_event_assertions,seizure_frequency,deterministic.rules.seizure_free,Seizure-free interval or zero recorded rate with explicit duration.,deterministic_extraction_or_adapter,"Teach current/no-event assertion, temporality, and duration selection.",Use deterministic date/duration arithmetic once the model selects the seizure-free or last-event evidence.,AblationConfig enabled_groups=seizure_free_no_event_assertions; disabled_rule_ids=seizure_free.duration_status,"seizure-free duration, no-current-event, and no-reference boundary rows",Date/duration conversion is adapter-owned; deterministic no-event clinical selection is hybrid if it chooses the final fact.,Boundary between mechanical duration and clinical currentness is the key risk.
seizure_free.generic_duration_or_since,seizure_free_no_event_assertions,seizure_frequency,deterministic.rules.seizure_free,Generic seizure-free/free-of/no-seizure duration or since assertion.,model_instruction,"Teach current/no-event assertion, temporality, and duration selection.",Use deterministic date/duration arithmetic once the model selects the seizure-free or last-event evidence.,AblationConfig enabled_groups=seizure_free_no_event_assertions; disabled_rule_ids=seizure_free.generic_duration_or_since,"seizure-free duration, no-current-event, and no-reference boundary rows",Date/duration conversion is adapter-owned; deterministic no-event clinical selection is hybrid if it chooses the final fact.,Boundary between mechanical duration and clinical currentness is the key risk.
seizure_free.last_epileptic_event,seizure_free_no_event_assertions,seizure_frequency,deterministic.rules.seizure_free,Last clearly epileptic event approximately N months ago.,deterministic_extraction_or_adapter,"Teach current/no-event assertion, temporality, and duration selection.",Use deterministic date/duration arithmetic once the model selects the seizure-free or last-event evidence.,AblationConfig enabled_groups=seizure_free_no_event_assertions; disabled_rule_ids=seizure_free.last_epileptic_event,"seizure-free duration, no-current-event, and no-reference boundary rows",Date/duration conversion is adapter-owned; deterministic no-event clinical selection is hybrid if it chooses the final fact.,Boundary between mechanical duration and clinical currentness is the key risk.
seizure_free.no_definite_events,seizure_free_no_event_assertions,seizure_frequency,deterministic.rules.seizure_free,Explicit no-definite-event assertion.,model_instruction,"Teach current/no-event assertion, temporality, and duration selection.",Use deterministic date/duration arithmetic once the model selects the seizure-free or last-event evidence.,AblationConfig enabled_groups=seizure_free_no_event_assertions; disabled_rule_ids=seizure_free.no_definite_events,"seizure-free duration, no-current-event, and no-reference boundary rows",Date/duration conversion is adapter-owned; deterministic no-event clinical selection is hybrid if it chooses the final fact.,Boundary between mechanical duration and clinical currentness is the key risk.
seizure_free.no_events_for_duration,seizure_free_no_event_assertions,seizure_frequency,deterministic.rules.seizure_free,"No events, warnings, auras, or spell-like events for a duration.",deterministic_extraction_or_adapter,"Teach current/no-event assertion, temporality, and duration selection.",Use deterministic date/duration arithmetic once the model selects the seizure-free or last-event evidence.,AblationConfig enabled_groups=seizure_free_no_event_assertions; disabled_rule_ids=seizure_free.no_events_for_duration,"seizure-free duration, no-current-event, and no-reference boundary rows",Date/duration conversion is adapter-owned; deterministic no-event clinical selection is hybrid if it chooses the final fact.,Boundary between mechanical duration and clinical currentness is the key risk.
seizure_free.one_and_half_years,seizure_free_no_event_assertions,seizure_frequency,deterministic.rules.seizure_free,One-and-a-half-year seizure-free duration.,deterministic_extraction_or_adapter,"Teach current/no-event assertion, temporality, and duration selection.",Use deterministic date/duration arithmetic once the model selects the seizure-free or last-event evidence.,AblationConfig enabled_groups=seizure_free_no_event_assertions; disabled_rule_ids=seizure_free.one_and_half_years,"seizure-free duration, no-current-event, and no-reference boundary rows",Date/duration conversion is adapter-owned; deterministic no-event clinical selection is hybrid if it chooses the final fact.,Boundary between mechanical duration and clinical currentness is the key risk.
seizure_free.since_date,seizure_free_no_event_assertions,seizure_frequency,deterministic.rules.seizure_free,Seizure-free or last-event date converted to a month duration.,deterministic_extraction_or_adapter,"Teach current/no-event assertion, temporality, and duration selection.",Use deterministic date/duration arithmetic once the model selects the seizure-free or last-event evidence.,AblationConfig enabled_groups=seizure_free_no_event_assertions; disabled_rule_ids=seizure_free.since_date,"seizure-free duration, no-current-event, and no-reference boundary rows",Date/duration conversion is adapter-owned; deterministic no-event clinical selection is hybrid if it chooses the final fact.,Boundary between mechanical duration and clinical currentness is the key risk.
adapter.selected_evidence_derivation,selected_evidence_arithmetic,seizure_frequency,selected_evidence.selected_evidence_derivation,Derives a Gan-compatible label from selected evidence text.,deterministic_extraction_or_adapter,Model owns evidence/fact selection; prompt for exact evidence and operands rather than parser-ready Gan syntax.,Allowed in primary LLM-heavy score layer when it computes from model-selected evidence.,raw vs selected-evidence-arithmetic repair modes,LLM-heavy v1/v2 selected-evidence arithmetic gaps,Still LLM-heavy when deterministic code only renders or computes from model-selected facts; hybrid if it selects a different clinical fact.,Preferred way to reduce model load while preserving clinical-selection attribution.
adapter.state_graph_projection_v0,temporal_selection,seizure_frequency,state_graph.projection,Projects graph nodes to one Gan-compatible final label.,hybrid_side_car,Clinical selection policy should be explicit in model instructions or adjudicator prompts.,Allowed for named hybrid runs; diagnostic only for LLM-heavy primary score layers.,projection policy variant and graph projection ablations,projection/arbitration miss-only rows and competing-state hard slices,"Deterministic projection is hybrid clinical selection in LLM-heavy contexts, not formatting.",Useful diagnostic substrate; not production policy by default.
temporal_selection.current_seizure_free,temporal_selection,seizure_frequency,deterministic.rules.temporal_selection,Prefer current seizure-free assertions over generic seizure-free mentions.,model_instruction,Put clinical currentness and conflict-resolution principles in prompts/adjudicators.,Keep deterministic selection as comparator/projection policy only.,AblationConfig enabled_groups=temporal_selection; disabled_rule_ids=temporal_selection.current_seizure_free,"current-vs-historical, competing frequency, trigger-conditioned rows",Deterministic final selection owns semantic behavior and must be called hybrid.,"Selection rules are clinical policy, not formatting."
temporal_selection.frequency_current_summary,temporal_selection,seizure_frequency,deterministic.rules.temporal_selection,Prefer frequency evidence with current-summary cues over lower-priority candidates.,model_instruction,Put clinical currentness and conflict-resolution principles in prompts/adjudicators.,Keep deterministic selection as comparator/projection policy only.,AblationConfig enabled_groups=temporal_selection; disabled_rule_ids=temporal_selection.frequency_current_summary,"current-vs-historical, competing frequency, trigger-conditioned rows",Deterministic final selection owns semantic behavior and must be called hybrid.,"Selection rules are clinical policy, not formatting."
temporal_selection.frequency_monthly_rate,temporal_selection,seizure_frequency,deterministic.rules.temporal_selection,Rank ordinary normalized frequency candidates by monthly frequency.,model_instruction,Put clinical currentness and conflict-resolution principles in prompts/adjudicators.,Keep deterministic selection as comparator/projection policy only.,AblationConfig enabled_groups=temporal_selection; disabled_rule_ids=temporal_selection.frequency_monthly_rate,"current-vs-historical, competing frequency, trigger-conditioned rows",Deterministic final selection owns semantic behavior and must be called hybrid.,"Selection rules are clinical policy, not formatting."
temporal_selection.generic_seizure_free,temporal_selection,seizure_frequency,deterministic.rules.temporal_selection,Use generic seizure-free evidence below stronger current-control assertions.,model_instruction,Put clinical currentness and conflict-resolution principles in prompts/adjudicators.,Keep deterministic selection as comparator/projection policy only.,AblationConfig enabled_groups=temporal_selection; disabled_rule_ids=temporal_selection.generic_seizure_free,"current-vs-historical, competing frequency, trigger-conditioned rows",Deterministic final selection owns semantic behavior and must be called hybrid.,"Selection rules are clinical policy, not formatting."
temporal_selection.generic_unknown,temporal_selection,seizure_frequency,deterministic.rules.temporal_selection,Use generic unknown-frequency evidence above no-reference fallback.,model_instruction,Put clinical currentness and conflict-resolution principles in prompts/adjudicators.,Keep deterministic selection as comparator/projection policy only.,AblationConfig enabled_groups=temporal_selection; disabled_rule_ids=temporal_selection.generic_unknown,"current-vs-historical, competing frequency, trigger-conditioned rows",Deterministic final selection owns semantic behavior and must be called hybrid.,"Selection rules are clinical policy, not formatting."
temporal_selection.generic_unresolved_multiple,temporal_selection,seizure_frequency,deterministic.rules.temporal_selection,Retain generic unresolved-multiple evidence below normalized frequencies.,model_instruction,Put clinical currentness and conflict-resolution principles in prompts/adjudicators.,Keep deterministic selection as comparator/projection policy only.,AblationConfig enabled_groups=temporal_selection; disabled_rule_ids=temporal_selection.generic_unresolved_multiple,"current-vs-historical, competing frequency, trigger-conditioned rows",Deterministic final selection owns semantic behavior and must be called hybrid.,"Selection rules are clinical policy, not formatting."
temporal_selection.no_reference,temporal_selection,seizure_frequency,deterministic.rules.temporal_selection,Use no-reference fallback only when no stronger candidate is available.,model_instruction,Put clinical currentness and conflict-resolution principles in prompts/adjudicators.,Keep deterministic selection as comparator/projection policy only.,AblationConfig enabled_groups=temporal_selection; disabled_rule_ids=temporal_selection.no_reference,"current-vs-historical, competing frequency, trigger-conditioned rows",Deterministic final selection owns semantic behavior and must be called hybrid.,"Selection rules are clinical policy, not formatting."
temporal_selection.specific_current_multiple,temporal_selection,seizure_frequency,deterministic.rules.temporal_selection,Prefer specific current unresolved-multiple evidence over generic multiple evidence.,model_instruction,Put clinical currentness and conflict-resolution principles in prompts/adjudicators.,Keep deterministic selection as comparator/projection policy only.,AblationConfig enabled_groups=temporal_selection; disabled_rule_ids=temporal_selection.specific_current_multiple,"current-vs-historical, competing frequency, trigger-conditioned rows",Deterministic final selection owns semantic behavior and must be called hybrid.,"Selection rules are clinical policy, not formatting."
temporal_selection.trigger_conditioned_unknown,temporal_selection,seizure_frequency,deterministic.rules.temporal_selection,Prefer trigger-conditioned unknown-frequency evidence over stale numeric rates.,model_instruction,Put clinical currentness and conflict-resolution principles in prompts/adjudicators.,Keep deterministic selection as comparator/projection policy only.,AblationConfig enabled_groups=temporal_selection; disabled_rule_ids=temporal_selection.trigger_conditioned_unknown,"current-vs-historical, competing frequency, trigger-conditioned rows",Deterministic final selection owns semantic behavior and must be called hybrid.,"Selection rules are clinical policy, not formatting."
